,TPR
% Below High,0.1775
% Held by Institutions,0.9437000000000001
52-Wk Range,['26.39 - 44.35']
Annual Dividend $,1.2
Annual Dividend %,0.032400000000000005
Ask,37.87
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,34.74
Bid Size,100.0
Change Since Close,-1.09| |(-2.99%)
Closing Price,36.48
Day Change $,-0.59
Day Change %,-0.0159
Day High,37.06
Day Low,36.28
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",3.15
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.495
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,35.39
Market Cap,8.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.78
Prev Close,37.07
Short Interest,0.0473
Today's Open,36.94
Volume,4067035.0
Volume 10-day Avg,3455792.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.026239067055393583
Growth 1yr High Est,0.054131054131054235
Growth 1yr Consensus Est,0.04018506059322391
Growth 2yr Low Est,0.0202218062549695
Growth 2yr High Est,0.13517363517363523
Growth 2yr Consensus Est,0.07769772071430237
Growth 5yr Low Est,0.11322867891745443
Growth 5yr High Est,0.1282109948776616
Growth 5yr Consensus Est,0.12071983689755801
Growth 5yr Actual/Est,0.6062003971311288
Growth 3yr Historic,0.5575514596133153
Price/Earnings (TTM),11.77783
Price/Sales (TTM),1.33119
Price/Book (MRQ),3.95946
Price/Cash Flow (TTM),8.8178
5yr Low,10.18
5yr High,55.5
5yr Avg Return,-0.007250000000000009
EPS Growth 5yr,0.0869225
Revenue Growth 5yr,0.08292260000000001
Dividend Growth 5yr,-0.0582552
Short Int Current Month,11366406.0
Short Int Prev Month,13056705.0
Short Int Pct of Float,0.0473167
Days to Cover,2.73287
Float,240.3535
Shares Outstanding,240.9613
Institutions Holding Shares,767.0
FCF Growth 5yr,-0.31629214507286163
"Price/Earnings (TTM, GAAP)",11.78
"PEG Ratio (TTM, GAAP)",0.85
Gross Profit Margin (TTM),0.6909000000000001
Operating Profit Margin (TTM),0.1612
Net Profit Margin (TTM),0.1229
Annual Dividend Yield,0.032400000000000005
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.09519999999999999
EPS Growth (MRQ),0.0592
EPS Growth (TTM),0.0828
Revenue Growth (MRQ),-0.0729
Revenue Growth (TTM),0.1082
Return On Equity (TTM),0.30510000000000004
Return On Assets (TTM),0.1093
Return On Investment (TTM),0.1359
Revenue Per Employee (TTM),532548.0
Total Debt/Total Capital (MRQ),0.42710000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),34.36
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-09-27 00:00:00
cfra since,2022-05-12 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
