,IAC
Price/Earnings (TTM),
Price/Sales (TTM),0.8269
Price/Book (MRQ),0.72097
Price/Cash Flow (TTM),
5yr Low,43.8
5yr High,266.0
5yr Avg Return,-0.03789999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.0333535
Dividend Growth 5yr,
Short Int Current Month,2500699.0
Short Int Prev Month,2727601.0
Short Int Pct of Float,0.0319075
Days to Cover,1.66448
Float,78.37437
Shares Outstanding,88.85638
Institutions Holding Shares,558.0
% Held by Institutions,0.8908710000000001
FCF Growth 5yr,1.357194460555369
