,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,191.73,266.0,140.77,,,,,
low,100.22,119.2,43.8,,,,,
change,0.8383,-0.3124,-0.6396000000000001,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,2119.0,1853.0,1796.0,1607.0,Balance Sheet
Short Term Investments,,,,20.0,59.0,30.0,16.0,Balance Sheet
Cash and Short Term Invs,,,,2139.0,1912.0,1827.0,1624.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,733.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,,-40.0,,,,Balance Sheet
"Total Receivables, Net",,,,693.0,593.0,633.0,588.0,Balance Sheet
Restricted Cash - Current,,,,2.0,21.0,17.0,3.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,240.0,258.0,262.0,267.0,Balance Sheet
"Other Curr. Assets, Total",,,,242.0,279.0,279.0,270.0,Balance Sheet
Total Current Assets,,,,3074.0,2784.0,2738.0,2481.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,1067.0,1099.0,1123.0,861.0,Balance Sheet
Accumulated Depreciation,,,,-497.0,-522.0,-537.0,-277.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,571.0,577.0,586.0,713.0,Balance Sheet
"Goodwill, Net",,,,3227.0,3221.0,3099.0,3008.0,Balance Sheet
Intangibles - Gross,,,,1694.0,1692.0,1691.0,1790.0,Balance Sheet
Accum. Intangible Amort.,,,,-279.0,-335.0,-388.0,-508.0,Balance Sheet
Intangibles - Net,,,,1415.0,1357.0,1302.0,1283.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,328.0,3.0,4.0,311.0,Balance Sheet
LT Investments - Other,,,,2649.0,2984.0,2137.0,1924.0,Balance Sheet
Long Term Investments,,,,2977.0,2988.0,2141.0,2235.0,Balance Sheet
Disct. Ops. - LT Asset,,,,0.0,,,,Balance Sheet
Restricted Cash - LT,,,,1.0,1.0,8.0,7.0,Balance Sheet
