,IAC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,18.12,Valuation,
Price/Sales (TTM),0.83,4.52,Valuation,0.1836283185840708
Price/Book (MRQ),0.72,5.02,Valuation,0.14342629482071714
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.6136,0.6097,Profitability,1.0063965884861408
Operating Profit Margin (TTM),-0.09050000000000001,0.24480000000000002,Profitability,-0.36968954248366015
Net Profit Margin (TTM),-0.22820000000000001,0.1981,Profitability,-1.1519434628975265
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.9259000000000001,-0.2712,Gowth rates,-3.414085545722714
EPS Growth (TTM),-2.1830000000000003,-0.0227,Gowth rates,96.16740088105728
Revenue Growth (MRQ),-0.0453,0.7634000000000001,Gowth rates,-0.05933979565103484
Revenue Growth (TTM),0.5576,1.7572999999999999,Gowth rates,0.31730495646730783
Return On Equity (TTM),-0.17629999999999998,0.2407,Effectiveness,-0.7324470294972995
Return On Assets (TTM),-0.1182,0.16899999999999998,Effectiveness,-0.6994082840236687
Return On Investment (TTM),-0.14,0.20510000000000003,Effectiveness,-0.68259385665529
Revenue Per Employee (TTM),390020.0,1707732.0,Effectiveness,0.22838478168705628
Total Debt/Total Capital (MRQ),0.2384,0.0821,Financial strength,2.9037758830694274
Change in Debt/Total Capital Quarter over Quarter,0.0276,0.028999999999999998,Financial strength,0.9517241379310345
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),,29.8,Financial strength,
