,IAC
% Above Low,0.09380000000000001
% Held by Institutions,0.8909
52-Wk Range,['43.80 - 140.77']
Annual Dividend $,
Annual Dividend %,
Ask,48.71
Ask Size,900.0
B/A Ratio,0.2222222222222222
B/A Size,200x900
Beta,1.5
Bid,48.2
Bid Size,200.0
Closing Price,47.91
Day Change $,-0.07
Day Change %,-0.0015
Day High,48.23
Day Low,47.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-13.34
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,47.98
Short Interest,0.0319
Today's Open,47.37
Volume,322294.0
Volume 10-day Avg,1293559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3840330350997936
Growth 2yr High Est,-1.3442622950819674
Growth 2yr Consensus Est,-0.8641476650908805
Growth 5yr Low Est,-0.3840330350997936
Growth 5yr High Est,-1.3442622950819674
Growth 5yr Consensus Est,-0.8641476650908805
Growth 5yr Actual/Est,1.8294791277653295
Growth 3yr Historic,2.787878787878788
Price/Earnings (TTM),
Price/Sales (TTM),0.8269
Price/Book (MRQ),0.72097
Price/Cash Flow (TTM),
5yr Low,43.8
5yr High,266.0
5yr Avg Return,-0.03789999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.0333535
Dividend Growth 5yr,
Short Int Current Month,2500699.0
Short Int Prev Month,2727601.0
Short Int Pct of Float,0.0319075
Days to Cover,1.66448
Float,78.37437
Shares Outstanding,88.85638
Institutions Holding Shares,558.0
FCF Growth 5yr,1.357194460555369
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6136
Operating Profit Margin (TTM),-0.09050000000000001
Net Profit Margin (TTM),-0.22820000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9259000000000001
EPS Growth (TTM),-2.1830000000000003
Revenue Growth (MRQ),-0.0453
Revenue Growth (TTM),0.5576
Return On Equity (TTM),-0.17629999999999998
Return On Assets (TTM),-0.1182
Return On Investment (TTM),-0.14
Revenue Per Employee (TTM),390020.0
Total Debt/Total Capital (MRQ),0.2384
Change in Debt/Total Capital Quarter over Quarter,0.0276
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-10-09 00:00:00
researchTeam since,2022-05-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-17 00:00:00
cfra since,
marketEdge opinion since,
