,CVX
% Below High,0.0315
% Held by Institutions,0.6896
52-Wk Range,['110.73 - 189.68']
Annual Dividend $,5.68
Annual Dividend %,0.030899999999999997
Ask,183.99
Ask Size,1000.0
B/A Ratio,2.0
B/A Size,2000x1000
Beta,1.2
Bid,183.35
Bid Size,2000.0
Closing Price,183.7
Day Change $,-0.54
Day Change %,-0.0029
Day High,185.3
Day Low,183.31
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",17.58
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.326
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,355.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.45
Prev Close,184.24
Short Interest,0.0098
Today's Open,184.89
Volume,2796407.0
Volume 10-day Avg,7373982.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,1.4814814814814814
Growth 1yr High Est,1.2363834422657956
Growth 1yr Consensus Est,1.3589324618736385
Growth 2yr Low Est,0.5856826976229961
Growth 2yr High Est,0.6440076003340668
Growth 2yr Consensus Est,0.6148451489785314
Growth 5yr Low Est,0.3476072350991235
Growth 5yr High Est,0.4186805373271542
Growth 5yr Consensus Est,0.3831438862131389
Growth 5yr Actual/Est,-10.356447160418242
Growth 3yr Historic,-10.670474481658692
Price/Earnings (TTM),10.45074
Price/Sales (TTM),1.56442
Price/Book (MRQ),2.23853
Price/Cash Flow (TTM),7.00887
5yr Low,51.6
5yr High,189.68
5yr Avg Return,0.1183
EPS Growth 5yr,
Revenue Growth 5yr,0.0708913
Dividend Growth 5yr,0.0435841
Short Int Current Month,18871228.0
Short Int Prev Month,20733934.0
Short Int Pct of Float,0.0097678
Days to Cover,2.40906
Float,1932.053
Shares Outstanding,1933.639
Institutions Holding Shares,3613.0
FCF Growth 5yr,0.5874665110770326
"Price/Earnings (TTM, GAAP)",10.45
"PEG Ratio (TTM, GAAP)",0.71
Gross Profit Margin (TTM),0.39189999999999997
Operating Profit Margin (TTM),0.1723
Net Profit Margin (TTM),0.15109999999999998
Annual Dividend Yield,0.0309
Dividend Change %,0.0291
"Dividend Growth Rate, 3 Years",0.058300000000000005
EPS Growth (MRQ),-0.025099999999999997
EPS Growth (TTM),2.4096
Revenue Growth (MRQ),-0.0285
Revenue Growth (TTM),0.6836
Return On Equity (TTM),0.23199999999999998
Return On Assets (TTM),0.1373
Return On Investment (TTM),0.1575
Revenue Per Employee (TTM),5330555.0
Total Debt/Total Capital (MRQ),0.129
Change in Debt/Total Capital Quarter over Quarter,-0.0042
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-03-07 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-02 00:00:00
