,ILMN
% Above Low,0.2626
% Held by Institutions,0.8948
52-Wk Range,['173.45 - 428.00']
Annual Dividend $,
Annual Dividend %,
Ask,225.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,218.7
Bid Size,100.0
Closing Price,218.99
Day Change $,-3.09
Day Change %,-0.0139
Day High,222.08
Day Low,218.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-26.46
Ex-dividend Date,No dividend
Historical Volatility,0.547
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,34.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,222.08
Short Interest,0.0279
Today's Open,222.08
Volume,470055.0
Volume 10-day Avg,973671.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.5714285714285714
Growth 1yr High Est,-0.5748709122203097
Growth 1yr Consensus Est,-0.5731497418244406
Growth 2yr Low Est,-0.3215792646172393
Growth 2yr High Est,-0.04047189335711854
Growth 2yr Consensus Est,-0.18102557898717891
Growth 5yr Low Est,-0.17084893654994815
Growth 5yr High Est,-0.027856641877546412
Growth 5yr Consensus Est,-0.0993527892137473
Growth 5yr Actual/Est,-0.08543044370291772
Growth 3yr Historic,-0.0009893455098934634
Price/Earnings (TTM),
Price/Sales (TTM),7.33074
Price/Book (MRQ),5.10792
Price/Cash Flow (TTM),
5yr Low,173.45
5yr High,555.77
5yr Avg Return,0.024616666666666672
EPS Growth 5yr,0.1005789
Revenue Growth 5yr,0.1354279
Dividend Growth 5yr,
Short Int Current Month,4373787.0
Short Int Prev Month,4816404.0
Short Int Pct of Float,0.027905199999999998
Days to Cover,3.10779
Float,156.7539
Shares Outstanding,157.3
Institutions Holding Shares,1323.0
FCF Growth 5yr,-0.6633990883249045
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6631
Operating Profit Margin (TTM),-0.8536
Net Profit Margin (TTM),-0.8837999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-6.1327
EPS Growth (TTM),-5.3612
Revenue Growth (MRQ),-0.0404
Revenue Growth (TTM),0.09789999999999999
Return On Equity (TTM),-0.47950000000000004
Return On Assets (TTM),-0.3156
Return On Investment (TTM),-0.3653
Revenue Per Employee (TTM),479490.0
Total Debt/Total Capital (MRQ),0.20550000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0038
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),49.2
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-04 00:00:00
researchTeam since,2022-08-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-06 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
