,ILMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),7.33,6.06,Valuation,1.2095709570957096
Price/Book (MRQ),5.11,6.22,Valuation,0.8215434083601287
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.6631,0.5095000000000001,Profitability,1.3014720314033366
Operating Profit Margin (TTM),-0.8536,0.0332,Profitability,-25.710843373493976
Net Profit Margin (TTM),-0.8837999999999999,-0.0454,Profitability,19.466960352422905
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-6.1327,-0.5094,Gowth rates,12.039065567334118
EPS Growth (TTM),-5.3612,-0.2377,Gowth rates,22.554480437526294
Revenue Growth (MRQ),-0.0404,0.1691,Gowth rates,-0.23891188645771733
Revenue Growth (TTM),0.09789999999999999,0.1222,Gowth rates,0.8011456628477904
Return On Equity (TTM),-0.47950000000000004,1.1042,Effectiveness,-0.43425104147799315
Return On Assets (TTM),-0.3156,0.0644,Effectiveness,-4.900621118012422
Return On Investment (TTM),-0.3653,0.0802,Effectiveness,-4.554862842892769
Revenue Per Employee (TTM),479490.0,335561.0,Effectiveness,1.4289205241371912
Total Debt/Total Capital (MRQ),0.20550000000000002,0.3893,Financial strength,0.5278705368610327
Change in Debt/Total Capital Quarter over Quarter,0.0038,0.0252,Financial strength,0.15079365079365079
Quick Ratio (MRQ),0.72,1.51,Financial strength,0.4768211920529801
Interest Coverage (MRQ),49.2,33.07,Financial strength,1.487753250680375
