,NWSA
% Above Low,0.23070000000000002
% Held by Institutions,0.9798
52-Wk Range,['14.87 - 23.73']
Annual Dividend $,0.2
Annual Dividend %,0.0109
Ask,18.2
Ask Size,300.0
Ask close,19.38
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,16.21
Bid Size,200.0
Bid close,17.27
Change Since Close,-0.11| |(-0.60%)
Closing Price,18.3
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-12 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2022-09-13 00:00:00
Ex-dividend Date,09/13/22
Historical Volatility,0.36100000000000004
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,18.19
Market Cap,10.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.19
Prev Close,18.3
Short Interest,0.0165
Today's Open,
Volume,18.0
Volume 10-day Avg,2605129.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.25
Growth 2yr High Est,0.381578947368421
Growth 2yr Consensus Est,0.3157894736842105
Growth 5yr Low Est,0.25
Growth 5yr High Est,0.381578947368421
Growth 5yr Consensus Est,0.3157894736842105
Growth 5yr Actual/Est,0.7011947228666053
Growth 3yr Historic,0.7091248303934871
Price/Earnings (TTM),23.19303
Price/Sales (TTM),1.02192
Price/Book (MRQ),1.34532
Price/Cash Flow (TTM),8.39659
5yr Low,7.9
5yr High,27.97
5yr Avg Return,0.04784999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.0499463
Dividend Growth 5yr,0.0
Short Int Current Month,6266673.0
Short Int Prev Month,6235241.0
Short Int Pct of Float,0.016501
Days to Cover,1.68741
Float,495.3852
Shares Outstanding,575.6278
Institutions Holding Shares,607.0
FCF Growth 5yr,0.4273909464468259
"Price/Earnings (TTM, GAAP)",23.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5027
Operating Profit Margin (TTM),0.0555
Net Profit Margin (TTM),0.054000000000000006
Annual Dividend Yield,0.010900000000000002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.6328
EPS Growth (TTM),-0.0479
Revenue Growth (MRQ),-0.0733
Revenue Growth (TTM),0.0634
Return On Equity (TTM),0.0581
Return On Assets (TTM),0.034100000000000005
Return On Investment (TTM),0.0452
Revenue Per Employee (TTM),406314.0
Total Debt/Total Capital (MRQ),0.25579999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),4.81
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-05-06 00:00:00
cfra since,2022-02-04 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
