,REGN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.53,471.78,Valuation,0.032917885455085
Price/Sales (TTM),5.85,45.03,Valuation,0.12991339107261823
Price/Book (MRQ),3.74,12.61,Valuation,0.2965900079302142
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8539,0.5874,Profitability,1.4536942458290771
Operating Profit Margin (TTM),0.4545,-4.7459,Profitability,-0.09576687245833246
Net Profit Margin (TTM),0.39170000000000005,-4.5467,Profitability,-0.08615039479182704
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.5605,-0.0014000000000000002,Gowth rates,-400.3571428571428
EPS Growth (TTM),-0.2433,0.027200000000000002,Gowth rates,-8.94485294117647
Revenue Growth (MRQ),0.0276,1.3963999999999999,Gowth rates,0.019765110283586365
Revenue Growth (TTM),0.0124,0.9747,Gowth rates,0.012721863137375602
Return On Equity (TTM),0.2776,0.1967,Effectiveness,1.411286222674123
Return On Assets (TTM),0.20920000000000002,0.0016,Effectiveness,130.75
Return On Investment (TTM),0.24,0.0219,Effectiveness,10.95890410958904
Revenue Per Employee (TTM),1322357.0,1476201.0,Effectiveness,0.8957838397345619
Total Debt/Total Capital (MRQ),0.1119,0.4675,Financial strength,0.23935828877005347
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002,0.0036,Financial strength,-0.38888888888888895
Quick Ratio (MRQ),4.52,2.06,Financial strength,2.1941747572815533
Interest Coverage (MRQ),,2.69,Financial strength,
