,REGN
% Below High,0.0287
% Held by Institutions,0.8785
52-Wk Range,['538.01 - 769.63']
Annual Dividend $,
Annual Dividend %,
Ask,747.85
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.2
Bid,746.9
Bid Size,200.0
Day Change $,11.34
Day Change %,0.0154
Day High,750.99
Day Low,736.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",47.4
Ex-dividend Date,No dividend
Historical Volatility,0.334
Last (size),100.0
Last (time),12:24p ET 11/28/22
Market Cap,81.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.53
Prev Close,736.23
Price,747.57
Short Interest,0.0169
Today's Open,740.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.42618938350925506
Growth 1yr High Est,-0.3924603174603174
Growth 1yr Consensus Est,-0.40932485048478623
Growth 2yr Low Est,-0.31240154326089253
Growth 2yr High Est,-0.15627805770686232
Growth 2yr Consensus Est,-0.23433980048387743
Growth 5yr Low Est,0.2434175622219412
Growth 5yr High Est,0.2975833176783326
Growth 5yr Consensus Est,0.27050043995013695
Growth 5yr Actual/Est,0.2929349956303767
Growth 3yr Historic,0.40359343267579456
Price/Earnings (TTM),15.5316
Price/Sales (TTM),5.84797
Price/Book (MRQ),3.7363
Price/Cash Flow (TTM),14.06192
5yr Low,271.37
5yr High,769.63
5yr Avg Return,0.13135
EPS Growth 5yr,0.5636337
Revenue Growth 5yr,0.2702157
Dividend Growth 5yr,
Short Int Current Month,1759975.0
Short Int Prev Month,1766629.0
Short Int Pct of Float,0.0168885
Days to Cover,2.30708
Float,104.3229
Shares Outstanding,108.9019
Institutions Holding Shares,1561.0
FCF Growth 5yr,-0.22536816007182478
"Price/Earnings (TTM, GAAP)",15.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8539
Operating Profit Margin (TTM),0.4545
Net Profit Margin (TTM),0.39170000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5605
EPS Growth (TTM),-0.2433
Revenue Growth (MRQ),0.0276
Revenue Growth (TTM),0.0124
Return On Equity (TTM),0.2776
Return On Assets (TTM),0.20920000000000002
Return On Investment (TTM),0.24
Revenue Per Employee (TTM),1322357.0
Total Debt/Total Capital (MRQ),0.1119
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),4.52
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-07 00:00:00
theStreet since,2019-12-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-03-04 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
