,CRDO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.56,Valuation,
Price/Sales (TTM),14.75,7.41,Valuation,1.99055330634278
Price/Book (MRQ),6.12,13.13,Valuation,0.4661081492764661
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.6082,0.5489,Profitability,1.1080342503188192
Operating Profit Margin (TTM),-0.0742,0.25739999999999996,Profitability,-0.2882672882672883
Net Profit Margin (TTM),-0.068,0.2224,Profitability,-0.3057553956834533
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),0.9865,1.5356,Gowth rates,0.6424199010158895
EPS Growth (TTM),0.7305,0.2274,Gowth rates,3.2124010554089715
Revenue Growth (MRQ),0.23829999999999998,0.1335,Gowth rates,1.78501872659176
Revenue Growth (TTM),1.436,0.24170000000000003,Gowth rates,5.941249482829954
Return On Equity (TTM),-0.0702,0.36920000000000003,Effectiveness,-0.1901408450704225
Return On Assets (TTM),-0.0344,0.16010000000000002,Effectiveness,-0.21486570893191753
Return On Investment (TTM),-0.0384,0.1925,Effectiveness,-0.19948051948051945
Revenue Per Employee (TTM),372304.0,898550.0,Effectiveness,0.41433865672472314
Total Debt/Total Capital (MRQ),0.0,0.3576,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),7.25,2.24,Financial strength,3.2366071428571423
Interest Coverage (MRQ),,15.8,Financial strength,
