,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,18.0,,,,,
low,8.61,,,,,
change,0.19010000000000002,,,,,
Date,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,71047.0,240529.0,259322.0,243783.0,Balance Sheet
"Trade Accts Recvble, Net",,34441.0,31494.0,39595.0,60796.0,Balance Sheet
Notes Recvble - Short Term,,5898.0,140.0,188.0,,Balance Sheet
"Total Receivables, Net",,40339.0,31634.0,39783.0,60796.0,Balance Sheet
Invent. - Finished Goods,,4430.0,6317.0,5375.0,11758.0,Balance Sheet
Invent. - Work In Progress,,4655.0,6233.0,10352.0,13352.0,Balance Sheet
Invent. - Raw Materials,,12202.0,13572.0,11610.0,11921.0,Balance Sheet
Total Inventory,,21287.0,26122.0,27337.0,37031.0,Balance Sheet
Prepaid Expenses,,1594.0,2032.0,4477.0,4383.0,Balance Sheet
"Other Curr. Assets, Total",,1363.0,1476.0,1258.0,,Balance Sheet
Total Current Assets,,135630.0,301793.0,332177.0,345993.0,Balance Sheet
Buildings,,1358.0,1437.0,1465.0,1613.0,Balance Sheet
Machinery/Equipment,,20448.0,23019.0,26759.0,40346.0,Balance Sheet
Construction in Progress,,2458.0,7910.0,2932.0,6433.0,Balance Sheet
Other Prop./Plant/Equip.,,3705.0,3860.0,17478.0,16763.0,Balance Sheet
Prop./Plant/Equip. - Gross,,27969.0,36226.0,48634.0,65155.0,Balance Sheet
Accumulated Depreciation,,-7929.0,-8978.0,-9836.0,-10720.0,Balance Sheet
Prop./Plant/Equip. - Net,,20040.0,27248.0,38798.0,54435.0,Balance Sheet
Note Rcvble - Long Term,,1869.0,1877.0,983.0,,Balance Sheet
Other Long Term Assets,,2629.0,3308.0,3731.0,5222.0,Balance Sheet
Total Assets,,162596.0,334226.0,375689.0,405650.0,Balance Sheet
Accounts Payable,,6890.0,7017.0,8487.0,21186.0,Balance Sheet
Accrued Expenses,,7342.0,11413.0,15464.0,14854.0,Balance Sheet
Notes Payable/ST Debt,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,5575.0,6184.0,1234.0,3004.0,Balance Sheet
Income Taxes Payable,,1893.0,1226.0,1312.0,295.0,Balance Sheet
Other Payables,,2000.0,,,,Balance Sheet
Other Current Liabilities,,,,,3268.0,Balance Sheet
"Other Curr. Lblts, Total",,9468.0,7410.0,2546.0,6567.0,Balance Sheet
Total Current Liabilities,,23700.0,25840.0,26497.0,42607.0,Balance Sheet
Total Long Term Debt,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,2337.0,2697.0,15029.0,21138.0,Balance Sheet
Total Liabilities,,26037.0,28537.0,41526.0,63745.0,Balance Sheet
Redeemable Preferred Stock,,205210.0,0.0,0.0,,Balance Sheet
Rdmbl Conv. Pref. Stock,,,0.0,0.0,,Balance Sheet
Common Stock,,3.0,7.0,7.0,7.0,Balance Sheet
Additional Paid-In Capital,,16022.0,390734.0,424562.0,432473.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,-84930.0,-85074.0,-90429.0,-90502.0,Balance Sheet
"Other Equity, Total",,254.0,22.0,23.0,-73.0,Balance Sheet
Total Equity,,136559.0,305689.0,334163.0,341905.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,162596.0,334226.0,375689.0,405650.0,Balance Sheet
Ttl Comm. Shares Outs.,,139947.0,141020.0,144755.0,145344.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,0.0,0.0,0.0,0.0,Balance Sheet
