,CRDO
% Below High,0.2
% Held by Institutions,0.46399999999999997
52-Wk Range,['8.61 - 18.00']
Annual Dividend $,
Annual Dividend %,
Ask,15.55
Ask Size,8100.0
B/A Ratio,0.19753086419753085
B/A Size,1600x8100
Beta,
Bid,12.26
Bid Size,1600.0
Closing Price,14.4
Day Change $,-0.08
Day Change %,-0.0055000000000000005
Day High,14.66
Day Low,14.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.07
Ex-dividend Date,No dividend
Historical Volatility,0.703
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.48
Short Interest,0.0875
Today's Open,14.46
Volume,150950.0
Volume 10-day Avg,845244.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-1.9375
Growth 1yr High Est,-3.625
Growth 1yr Consensus Est,-2.78125
Growth 2yr Low Est,0.06458333333333344
Growth 2yr High Est,-1.0982142857142856
Growth 2yr Consensus Est,-0.5168154761904761
Growth 5yr Low Est,0.06458333333333344
Growth 5yr High Est,-1.0982142857142856
Growth 5yr Consensus Est,-0.5168154761904761
Growth 5yr Actual/Est,-0.13541666666666674
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),14.75053
Price/Book (MRQ),6.12145
Price/Cash Flow (TTM),
5yr Low,8.61
5yr High,18.0
5yr Avg Return,0.19010000000000002
Short Int Current Month,9112662.0
Short Int Prev Month,10918251.0
Short Int Pct of Float,0.08749520000000001
Days to Cover,10.31899
Float,104.0655
Shares Outstanding,145.682
Institutions Holding Shares,127.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6082
Operating Profit Margin (TTM),-0.0742
Net Profit Margin (TTM),-0.068
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9865
EPS Growth (TTM),0.7305
Revenue Growth (MRQ),0.23829999999999998
Revenue Growth (TTM),1.436
Return On Equity (TTM),-0.0702
Return On Assets (TTM),-0.0344
Return On Investment (TTM),-0.0384
Revenue Per Employee (TTM),372304.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),7.25
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-04-29 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
