,AMG
% Below High,0.1124
% Held by Institutions,0.9768000000000001
52-Wk Range,['108.12 - 176.75']
Annual Dividend $,0.04
Annual Dividend %,0.0003
Ask,188.15
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.3
Bid,62.88
Bid Size,200.0
Closing Price,156.88
Day Change $,0.14
Day Change %,0.0009
Day High,157.4
Day Low,155.02
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",12.14
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.414
Last (size),458.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.92
Prev Close,156.74
Short Interest,0.013600000000000001
Today's Open,155.65
Volume,98346.0
Volume 10-day Avg,309947.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.027222222222222037
Growth 1yr High Est,0.09448388858547241
Growth 1yr Consensus Est,0.06085305540384722
Growth 2yr Low Est,0.010095697373955825
Growth 2yr High Est,0.05023595626878419
Growth 2yr Consensus Est,0.030165826821370006
Growth 5yr Low Est,0.10629234538499668
Growth 5yr High Est,0.10380688549292788
Growth 5yr Consensus Est,0.10504961543896228
Growth 5yr Actual/Est,0.08897965293369858
Growth 3yr Historic,0.07694631833379653
Price/Earnings (TTM),12.92035
Price/Sales (TTM),2.38112
Price/Book (MRQ),2.14376
Price/Cash Flow (TTM),6.52042
5yr Low,44.37
5yr High,217.0
5yr Avg Return,0.028649999999999988
EPS Growth 5yr,0.0806852
Revenue Growth 5yr,0.0191047
Dividend Growth 5yr,
Short Int Current Month,504859.0
Short Int Prev Month,691092.0
Short Int Pct of Float,0.013557999999999999
Days to Cover,1.27956
Float,37.25248
Shares Outstanding,37.66863
Institutions Holding Shares,428.0
FCF Growth 5yr,0.7464632774086045
"Price/Earnings (TTM, GAAP)",12.92
"PEG Ratio (TTM, GAAP)",1.24
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3652
Net Profit Margin (TTM),0.3386
Annual Dividend Yield,0.0003
Dividend Change %,-0.8856999999999999
"Dividend Growth Rate, 3 Years",-0.6781999999999999
EPS Growth (MRQ),0.0529
EPS Growth (TTM),0.0833
Revenue Growth (MRQ),-0.0422
Revenue Growth (TTM),0.0909
Return On Equity (TTM),0.2023
Return On Assets (TTM),0.10160000000000001
Return On Investment (TTM),0.1335
Revenue Per Employee (TTM),612790.0
Total Debt/Total Capital (MRQ),0.3796
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-11-18 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-12-09 00:00:00
