,AMG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.92,20.51,Valuation,0.6299366162847391
Price/Sales (TTM),2.38,12.46,Valuation,0.19101123595505615
Price/Book (MRQ),2.14,4.63,Valuation,0.4622030237580994
"PEG Ratio (TTM, GAAP)",1.24,2.67,Valuation,0.46441947565543074
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.3652,0.269,Profitability,1.3576208178438662
Net Profit Margin (TTM),0.3386,0.1791,Profitability,1.8905639307649358
Annual Dividend Yield,0.0003,0.0257,Dividend,0.011673151750972761
Dividend Change %,-0.8856999999999999,0.2049,Dividend,-4.322596388482186
"Dividend Growth Rate, 3 Years",-0.6781999999999999,0.1213,Dividend,-5.5910964550700735
EPS Growth (MRQ),0.0529,-0.2356,Gowth rates,-0.22453310696095077
EPS Growth (TTM),0.0833,-0.0768,Gowth rates,-1.0846354166666667
Revenue Growth (MRQ),-0.0422,0.0931,Gowth rates,-0.4532760472610097
Revenue Growth (TTM),0.0909,0.0447,Gowth rates,2.033557046979866
Return On Equity (TTM),0.2023,0.1783,Effectiveness,1.1346045989904656
Return On Assets (TTM),0.10160000000000001,0.0492,Effectiveness,2.0650406504065044
Return On Investment (TTM),0.1335,0.1008,Effectiveness,1.3244047619047619
Revenue Per Employee (TTM),612790.0,1125238.0,Effectiveness,0.5445870118143895
Total Debt/Total Capital (MRQ),0.3796,0.5241,Financial strength,0.7242892577752337
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0008,Financial strength,-0.25
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,21.92,Financial strength,
