,CCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,15.8,Valuation,
Price/Sales (TTM),0.2,2.92,Valuation,0.06849315068493152
Price/Book (MRQ),,3.23,Valuation,
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.47200000000000003,0.5389,Profitability,0.875858229727222
Operating Profit Margin (TTM),0.10470000000000002,0.14,Profitability,0.7478571428571429
Net Profit Margin (TTM),-0.052000000000000005,0.1103,Profitability,-0.4714415231187671
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),0.27640000000000003,0.7041,Gowth rates,0.3925578753018038
EPS Growth (TTM),0.7909999999999999,0.0154,Gowth rates,51.36363636363636
Revenue Growth (MRQ),0.22390000000000002,0.1423,Gowth rates,1.5734364019676739
Revenue Growth (TTM),0.3265,0.1115,Gowth rates,2.9282511210762334
Return On Equity (TTM),,0.1409,Effectiveness,
Return On Assets (TTM),-0.025,0.0388,Effectiveness,-0.6443298969072165
Return On Investment (TTM),-0.0313,0.049800000000000004,Effectiveness,-0.6285140562248995
Revenue Per Employee (TTM),545260.0,648551.0,Effectiveness,0.8407357324250522
Total Debt/Total Capital (MRQ),2.4824,0.5946,Financial strength,4.174907500840901
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0004,Financial strength,0.7499999999999999
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),1.1,5.53,Financial strength,0.19891500904159132
