,SCCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.69,8.08,Valuation,2.1893564356435644
Price/Sales (TTM),4.52,26.91,Valuation,0.167967298402081
Price/Book (MRQ),6.01,2.97,Valuation,2.0235690235690234
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.5651,0.375,Profitability,1.5069333333333335
Operating Profit Margin (TTM),0.4573,0.1536,Profitability,2.977213541666667
Net Profit Margin (TTM),0.25670000000000004,-0.0743,Profitability,-3.454912516823688
Annual Dividend Yield,0.034,0.0221,Dividend,1.5384615384615385
Dividend Change %,1.1333,1.2769,Dividend,0.8875401362675229
"Dividend Growth Rate, 3 Years",0.3173,0.1663,Dividend,1.9079975947083585
EPS Growth (MRQ),0.2005,2.9959,Gowth rates,0.06692479722287127
EPS Growth (TTM),-0.1856,0.5015,Gowth rates,-0.3700897308075773
Revenue Growth (MRQ),-0.065,-0.0395,Gowth rates,1.6455696202531647
Revenue Growth (TTM),-0.0392,0.19710000000000003,Gowth rates,-0.19888381532217145
Return On Equity (TTM),0.32799999999999996,0.2866,Effectiveness,1.1444521981856244
Return On Assets (TTM),0.1466,0.08710000000000001,Effectiveness,1.6831228473019517
Return On Investment (TTM),0.1623,0.1716,Effectiveness,0.9458041958041958
Revenue Per Employee (TTM),683762.0,1553496.0,Effectiveness,0.4401440364185038
Total Debt/Total Capital (MRQ),0.462,0.3055,Financial strength,1.5122749590834699
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0382,Financial strength,0.015706806282722512
Quick Ratio (MRQ),2.63,2.21,Financial strength,1.1900452488687783
Interest Coverage (MRQ),10.3,28.97,Financial strength,0.3555402140144978
