,SCCO
% Above Low,0.3579
% Held by Institutions,0.0699
52-Wk Range,['42.42 - 79.32']
Annual Dividend $,2.0
Annual Dividend %,0.034
Ask,57.64
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,57.58
Bid Size,300.0
Day Change $,-1.19
Day Change %,-0.0202
Day High,58.71
Day Low,57.45
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.32
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.394
Last (size),100.0
Last (time),1:46p ET 11/28/22
Market Cap,44.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.69
Prev Close,58.79
Price,57.6
Short Interest,0.085
Today's Open,58.47
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.37292161520190015
Growth 1yr High Est,-0.10647181628392477
Growth 1yr Consensus Est,-0.23969671574291246
Growth 2yr Low Est,-0.35312747426761676
Growth 2yr High Est,0.030876241390747905
Growth 2yr Consensus Est,-0.16112561643843443
Growth 5yr Low Est,0.21963786359686976
Growth 5yr High Est,0.28750145416024797
Growth 5yr Consensus Est,0.2535696588785589
Growth 5yr Actual/Est,0.2108451071703664
Growth 3yr Historic,0.30496331075533656
Price/Earnings (TTM),17.69264
Price/Sales (TTM),4.52185
Price/Book (MRQ),6.00657
Price/Cash Flow (TTM),13.43059
5yr Low,23.43
5yr High,83.29
5yr Avg Return,0.08816666666666668
EPS Growth 5yr,0.3435365
Revenue Growth 5yr,0.1524004
Dividend Growth 5yr,0.7781791
Short Int Current Month,7246910.0
Short Int Prev Month,6540288.0
Short Int Pct of Float,0.08503809999999999
Days to Cover,3.74052
Float,85.21959
Shares Outstanding,773.0984
Institutions Holding Shares,582.0
FCF Growth 5yr,-0.05481046030135572
"Price/Earnings (TTM, GAAP)",17.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5651
Operating Profit Margin (TTM),0.4573
Net Profit Margin (TTM),0.25670000000000004
Annual Dividend Yield,0.034
Dividend Change %,1.1333
"Dividend Growth Rate, 3 Years",0.3173
EPS Growth (MRQ),0.2005
EPS Growth (TTM),-0.1856
Revenue Growth (MRQ),-0.065
Revenue Growth (TTM),-0.0392
Return On Equity (TTM),0.32799999999999996
Return On Assets (TTM),0.1466
Return On Investment (TTM),0.1623
Revenue Per Employee (TTM),683762.0
Total Debt/Total Capital (MRQ),0.462
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),2.63
Interest Coverage (MRQ),10.3
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2020-06-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-10-29 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
