,TECH
% Above Low,0.2147
% Held by Institutions,0.9675
52-Wk Range,['272.01 - 522.96']
Annual Dividend $,1.28
Annual Dividend %,0.0038
Ask,330.4
Ask Size,100.0
Ask close,353.04
B/A Ratio,4.0
B/A Size,400x100
Beta,1.3
Bid,301.6
Bid Size,400.0
Bid close,310.11
Change Since Close,0.00| |(0.00%)
Closing Price,330.4
Day Change $,-8.57
Day Change %,-0.0253
Day High,340.09
Day Low,328.85
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",7.14
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.408
Last (size),246.0
Last (time),4:00p ET 11/28/22
Last Trade,330.4
Market Cap,13.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.48
Prev Close,338.97
Short Interest,0.0195
Today's Open,337.9
Volume,255702.0
Volume 10-day Avg,257307.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.03312101910828025
Growth 1yr High Est,0.08250000000000002
Growth 1yr Consensus Est,0.05781050955414013
Growth 2yr Low Est,0.07143103976375786
Growth 2yr High Est,0.14459872979214772
Growth 2yr Consensus Est,0.10801488477795279
Growth 5yr Low Est,0.16466028009494357
Growth 5yr High Est,0.1646722455642431
Growth 5yr Consensus Est,0.16466626282959332
Growth 5yr Actual/Est,0.22371070752525435
Growth 3yr Historic,0.1631013431013431
Price/Earnings (TTM),47.4833
Price/Sales (TTM),11.90297
Price/Book (MRQ),7.59414
Price/Cash Flow (TTM),34.38735
5yr Low,125.84
5yr High,543.85
5yr Avg Return,0.22316666666666665
EPS Growth 5yr,0.26712230000000003
Revenue Growth 5yr,0.1445042
Dividend Growth 5yr,0.0
Short Int Current Month,761122.0
Short Int Prev Month,695541.0
Short Int Pct of Float,0.019549300000000002
Days to Cover,1.62878
Float,38.93709
Shares Outstanding,39.24238
Institutions Holding Shares,751.0
FCF Growth 5yr,0.022611719855581153
"Price/Earnings (TTM, GAAP)",47.48
"PEG Ratio (TTM, GAAP)",4.33
Gross Profit Margin (TTM),0.6846
Operating Profit Margin (TTM),0.303
Net Profit Margin (TTM),0.254
Annual Dividend Yield,0.0038
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.4685
EPS Growth (TTM),0.6493000000000001
Revenue Growth (MRQ),-0.0644
Revenue Growth (TTM),0.1351
Return On Equity (TTM),0.1722
Return On Assets (TTM),0.1229
Return On Investment (TTM),0.1308
Revenue Per Employee (TTM),372512.0
Total Debt/Total Capital (MRQ),0.1313
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),2.92
Interest Coverage (MRQ),17.71
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2019-11-29 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
