,HZO
% Above Low,0.1887
% Held by Institutions,0.9676
52-Wk Range,['27.40 - 61.06']
Annual Dividend $,
Annual Dividend %,
Ask,39.0
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.6
Bid,30.26
Bid Size,100.0
Closing Price,32.57
Day Change $,0.5
Day Change %,0.015600000000000001
Day High,32.75
Day Low,31.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.85
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,701.4M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.68
Prev Close,32.07
Short Interest,0.1297
Today's Open,31.86
Volume,117124.0
Volume 10-day Avg,301872.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.203125
Growth 1yr High Est,0.2595419847328244
Growth 1yr Consensus Est,0.2313334923664122
Growth 2yr Low Est,-0.03480113636363641
Growth 2yr High Est,0.1540134166088365
Growth 2yr Consensus Est,0.05960614012260004
Growth 5yr Low Est,-0.023200757575757607
Growth 5yr High Est,0.10267561107255767
Growth 5yr Consensus Est,0.03973742674840003
Growth 5yr Actual/Est,0.26604487101758634
Growth 3yr Historic,0.3215727371526161
Price/Earnings (TTM),3.67959
Price/Sales (TTM),0.30648
Price/Book (MRQ),0.9019
Price/Cash Flow (TTM),3.25373
5yr Low,7.25
5yr High,70.89
5yr Avg Return,0.17840000000000003
EPS Growth 5yr,0.5608432
Revenue Growth 5yr,0.1700954
Dividend Growth 5yr,
Short Int Current Month,2728016.0
Short Int Prev Month,2427171.0
Short Int Pct of Float,0.12973800000000002
Days to Cover,7.32172
Float,21.06212
Shares Outstanding,21.71889
Institutions Holding Shares,282.0
FCF Growth 5yr,-1.6670869785925273
"Price/Earnings (TTM, GAAP)",3.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34909999999999997
Operating Profit Margin (TTM),0.1149
Net Profit Margin (TTM),0.0858
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4548
EPS Growth (TTM),0.308
Revenue Growth (MRQ),-0.22039999999999998
Revenue Growth (TTM),0.1187
Return On Equity (TTM),0.2874
Return On Assets (TTM),0.1677
Return On Investment (TTM),0.2334
Revenue Per Employee (TTM),1003085.0
Total Debt/Total Capital (MRQ),0.1872
Change in Debt/Total Capital Quarter over Quarter,0.0079
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),51.75
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-09-27 00:00:00
researchTeam since,2022-09-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
