,EVH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-5.17,Valuation,
Price/Sales (TTM),2.29,11.27,Valuation,0.20319432120674358
Price/Book (MRQ),3.21,5.79,Valuation,0.5544041450777202
"PEG Ratio (TTM, GAAP)",,0.15,Valuation,
Gross Profit Margin (TTM),0.2606,0.6652,Profitability,0.3917618761274804
Operating Profit Margin (TTM),0.0032,-0.46950000000000003,Profitability,-0.006815761448349307
Net Profit Margin (TTM),-0.0034999999999999996,-0.4687,Profitability,0.007467463196074247
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),1.4668,-0.6163000000000001,Gowth rates,-2.380009735518416
EPS Growth (TTM),0.9037000000000001,-0.35350000000000004,Gowth rates,-2.5564356435643565
Revenue Growth (MRQ),0.102,0.24050000000000002,Gowth rates,0.42411642411642403
Revenue Growth (TTM),0.34409999999999996,0.3728,Gowth rates,0.9230150214592273
Return On Equity (TTM),-0.0059,-0.09480000000000001,Effectiveness,0.06223628691983121
Return On Assets (TTM),-0.0029,-0.1218,Effectiveness,0.023809523809523808
Return On Investment (TTM),-0.0038,-0.049,Effectiveness,0.07755102040816327
Revenue Per Employee (TTM),347983.0,454654.0,Effectiveness,0.7653798272972414
Total Debt/Total Capital (MRQ),0.3251,0.2084,Financial strength,1.5599808061420346
Change in Debt/Total Capital Quarter over Quarter,0.0024,0.009000000000000001,Financial strength,0.2666666666666666
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),5.63,-7.93,Financial strength,-0.7099621689785625
