,EVH
% Above Low,0.2917
% Held by Institutions,0.9281
52-Wk Range,['21.36 - 39.78']
Annual Dividend $,
Annual Dividend %,
Ask,30.1
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.6
Bid,21.04
Bid Size,200.0
Closing Price,27.59
Day Change $,-0.09
Day Change %,-0.0033
Day High,27.71
Day Low,27.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.53
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.68
Short Interest,0.07690000000000001
Today's Open,27.26
Volume,367585.0
Volume 10-day Avg,1421940.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-1.7532467532467533
Growth 1yr High Est,-3.1538461538461537
Growth 1yr Consensus Est,-2.4535464535464535
Growth 2yr Low Est,-1.0748992386923422
Growth 2yr High Est,-1.7662087912087912
Growth 2yr Consensus Est,-1.4205540149505667
Growth 5yr Low Est,-0.5374496193461711
Growth 5yr High Est,-0.8831043956043956
Growth 5yr Consensus Est,-0.7102770074752833
Growth 5yr Actual/Est,10.605425824175823
Growth 3yr Historic,-0.45089285714285715
Price/Earnings (TTM),
Price/Sales (TTM),2.29228
Price/Book (MRQ),3.21041
Price/Cash Flow (TTM),47.95443
5yr Low,3.5
5yr High,39.78
5yr Avg Return,0.25756666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2899772
Dividend Growth 5yr,
Short Int Current Month,7161116.0
Short Int Prev Month,6410417.0
Short Int Pct of Float,0.0769349
Days to Cover,3.87301
Float,93.06669
Shares Outstanding,101.191
Institutions Holding Shares,323.0
FCF Growth 5yr,-1.830924647283408
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2606
Operating Profit Margin (TTM),0.0032
Net Profit Margin (TTM),-0.0034999999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4668
EPS Growth (TTM),0.9037000000000001
Revenue Growth (MRQ),0.102
Revenue Growth (TTM),0.34409999999999996
Return On Equity (TTM),-0.0059
Return On Assets (TTM),-0.0029
Return On Investment (TTM),-0.0038
Revenue Per Employee (TTM),347983.0
Total Debt/Total Capital (MRQ),0.3251
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.63
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-08-24 00:00:00
researchTeam since,2021-10-29 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
