,NSTG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),2.18,6.06,Valuation,0.35973597359735976
Price/Book (MRQ),3.55,6.22,Valuation,0.5707395498392283
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.524,0.5095000000000001,Profitability,1.0284592737978409
Operating Profit Margin (TTM),-1.0115,0.0332,Profitability,-30.46686746987952
Net Profit Margin (TTM),-1.0694,-0.0454,Profitability,23.555066079295152
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.067,-0.5094,Gowth rates,-0.13152728700431882
EPS Growth (TTM),-0.2878,-0.2377,Gowth rates,1.2107698779974758
Revenue Growth (MRQ),-0.08310000000000001,0.1691,Gowth rates,-0.49142519219396813
Revenue Growth (TTM),-0.0259,0.1222,Gowth rates,-0.21194762684124385
Return On Equity (TTM),-1.026,1.1042,Effectiveness,-0.9291794964680311
Return On Assets (TTM),-0.33,0.0644,Effectiveness,-5.124223602484473
Return On Investment (TTM),-0.3703,0.0802,Effectiveness,-4.6172069825436415
Revenue Per Employee (TTM),176625.0,335561.0,Effectiveness,0.5263573538045243
Total Debt/Total Capital (MRQ),0.7318000000000001,0.3893,Financial strength,1.8797842281017214
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0252,Financial strength,0.11507936507936507
Quick Ratio (MRQ),5.36,1.51,Financial strength,3.549668874172186
Interest Coverage (MRQ),-31.39,33.07,Financial strength,-0.9491986694889628
