,NSTG
% Above Low,0.4439
% Held by Institutions,1.0759
52-Wk Range,['4.37 - 43.81']
Annual Dividend $,
Annual Dividend %,
Ask,9.6
Ask Size,100.0
Ask close,7.76
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,5.86
Bid Size,200.0
Bid close,4.91
Change Since Close,0.31| |(4.91%)
Closing Price,6.31
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.13
Ex-dividend Date,No dividend
Historical Volatility,1.035
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.62
Market Cap,294.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.31
Short Interest,0.058899999999999994
Today's Open,
Volume,11.0
Volume 10-day Avg,1258418.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.25193798449612403
Growth 1yr High Est,0.15102040816326512
Growth 1yr Consensus Est,0.20147919632969458
Growth 2yr Low Est,0.04082967336261312
Growth 2yr High Est,-0.1514401505282965
Growth 2yr Consensus Est,-0.0553052385828417
Growth 5yr Low Est,-0.007502439980480132
Growth 5yr High Est,-0.12611733305660014
Growth 5yr Consensus Est,-0.06680988651854014
Growth 5yr Actual/Est,0.2974387228959764
Growth 3yr Historic,0.32263493208318306
Price/Earnings (TTM),
Price/Sales (TTM),2.17555
Price/Book (MRQ),3.54846
Price/Cash Flow (TTM),
5yr Low,4.37
5yr High,86.42
5yr Avg Return,0.3186833333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.109002
Dividend Growth 5yr,
Short Int Current Month,2725421.0
Short Int Prev Month,4396845.0
Short Int Pct of Float,0.0589359
Days to Cover,1.10646
Float,46.24378
Shares Outstanding,46.64681
Institutions Holding Shares,234.0
FCF Growth 5yr,0.33815400422694025
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.524
Operating Profit Margin (TTM),-1.0115
Net Profit Margin (TTM),-1.0694
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.067
EPS Growth (TTM),-0.2878
Revenue Growth (MRQ),-0.08310000000000001
Revenue Growth (TTM),-0.0259
Return On Equity (TTM),-1.026
Return On Assets (TTM),-0.33
Return On Investment (TTM),-0.3703
Revenue Per Employee (TTM),176625.0
Total Debt/Total Capital (MRQ),0.7318000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),5.36
Interest Coverage (MRQ),-31.39
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2014-08-06 00:00:00
theStreet since,2014-08-06 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
