,SIG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.7,19.03,Valuation,0.5097214923804518
Price/Sales (TTM),0.38,1.93,Valuation,0.19689119170984457
Price/Book (MRQ),2.18,92.12,Valuation,0.023664785062961356
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.3924,0.34390000000000004,Profitability,1.141029369002617
Operating Profit Margin (TTM),0.0877,0.11789999999999999,Profitability,0.7438507209499576
Net Profit Margin (TTM),0.059000000000000004,0.0818,Profitability,0.7212713936430318
Annual Dividend Yield,0.0124,0.016200000000000003,Dividend,0.765432098765432
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",-0.36710000000000004,0.09390000000000001,Dividend,-3.9094781682641107
EPS Growth (MRQ),2.2875,-0.10800000000000001,Gowth rates,-21.180555555555554
EPS Growth (TTM),-0.3531,0.0262,Gowth rates,-13.477099236641221
Revenue Growth (MRQ),-0.0454,0.0478,Gowth rates,-0.9497907949790795
Revenue Growth (TTM),0.1405,0.0874,Gowth rates,1.6075514874141876
Return On Equity (TTM),0.29710000000000003,5.2054,Effectiveness,0.05707534483421063
Return On Assets (TTM),0.0752,0.1562,Effectiveness,0.4814340588988476
Return On Investment (TTM),0.1076,0.26,Effectiveness,0.41384615384615386
Revenue Per Employee (TTM),257399.0,410011.0,Effectiveness,0.627785595996205
Total Debt/Total Capital (MRQ),0.0679,0.8926999999999999,Financial strength,0.07606138680407752
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0016,Financial strength,0.125
Quick Ratio (MRQ),0.63,0.39,Financial strength,1.6153846153846154
Interest Coverage (MRQ),56.82,13.36,Financial strength,4.252994011976048
