,SIG
% Above Low,0.3036
% Held by Institutions,1.0329000000000002
52-Wk Range,['48.31 - 107.00']
Annual Dividend $,0.8
Annual Dividend %,0.0124
Ask,62.97
Ask Size,200.0
B/A Ratio,4.5
B/A Size,900x200
Beta,2.2
Bid,62.82
Bid Size,900.0
Day Change $,-1.45
Day Change %,-0.0225
Day High,64.17
Day Low,62.62
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",6.64
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.643
Last (size),15.0
Last (time),2:18p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.7
Prev Close,64.42
Price,62.97
Short Interest,0.1143
Today's Open,63.15
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1382252559726963
Growth 1yr High Est,-0.06796116504854366
Growth 1yr Consensus Est,-0.10309321051061998
Growth 2yr Low Est,-0.23198391511506106
Growth 2yr High Est,-0.0235639158576052
Growth 2yr Consensus Est,-0.12777391548633313
Growth 5yr Low Est,-0.23198391511506106
Growth 5yr High Est,-0.0235639158576052
Growth 5yr Consensus Est,-0.12777391548633313
Growth 5yr Actual/Est,1.0405877426022232
Growth 3yr Historic,1.0909299115649582
Price/Earnings (TTM),9.69642
Price/Sales (TTM),0.3751
Price/Book (MRQ),2.17575
Price/Cash Flow (TTM),5.01621
5yr Low,5.6
5yr High,111.92
5yr Avg Return,0.2542
EPS Growth 5yr,0.1100122
Revenue Growth 5yr,0.040777900000000006
Dividend Growth 5yr,-0.1848069
Short Int Current Month,5133524.0
Short Int Prev Month,5567502.0
Short Int Pct of Float,0.1142661
Days to Cover,7.54833
Float,45.14016
Shares Outstanding,46.24535
Institutions Holding Shares,349.0
FCF Growth 5yr,0.1884580978467368
"Price/Earnings (TTM, GAAP)",9.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3924
Operating Profit Margin (TTM),0.0877
Net Profit Margin (TTM),0.059000000000000004
Annual Dividend Yield,0.0124
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.36710000000000004
EPS Growth (MRQ),2.2875
EPS Growth (TTM),-0.3531
Revenue Growth (MRQ),-0.0454
Revenue Growth (TTM),0.1405
Return On Equity (TTM),0.29710000000000003
Return On Assets (TTM),0.0752
Return On Investment (TTM),0.1076
Revenue Per Employee (TTM),257399.0
Total Debt/Total Capital (MRQ),0.0679
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),56.82
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-09-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-02 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
