,CVGW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.59,Valuation,
Price/Sales (TTM),0.53,3.73,Valuation,0.14209115281501342
Price/Book (MRQ),2.87,13.84,Valuation,0.2073699421965318
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.0513,0.272,Profitability,0.18860294117647056
Operating Profit Margin (TTM),-0.0113,-0.0195,Profitability,0.5794871794871794
Net Profit Margin (TTM),-0.0126,0.0633,Profitability,-0.19905213270142183
Annual Dividend Yield,0.0079,0.022400000000000003,Dividend,0.3526785714285714
Dividend Change %,0.0455,0.0626,Dividend,0.7268370607028753
"Dividend Growth Rate, 3 Years",0.0658,0.03,Dividend,2.1933333333333334
EPS Growth (MRQ),7.7678,0.2782,Gowth rates,27.921639108555
EPS Growth (TTM),-3.1633,2.1703,Gowth rates,-1.4575404321983134
Revenue Growth (MRQ),0.0319,0.1463,Gowth rates,0.21804511278195485
Revenue Growth (TTM),0.20070000000000002,0.1387,Gowth rates,1.447007930785869
Return On Equity (TTM),-0.0659,0.1827,Effectiveness,-0.36070060207991245
Return On Assets (TTM),-0.0346,0.0553,Effectiveness,-0.6256781193490054
Return On Investment (TTM),-0.046,0.06559999999999999,Effectiveness,-0.701219512195122
Revenue Per Employee (TTM),332134.0,841800.0,Effectiveness,0.39455215015443096
Total Debt/Total Capital (MRQ),0.12210000000000001,0.42450000000000004,Financial strength,0.2876325088339223
Change in Debt/Total Capital Quarter over Quarter,-0.0022,0.0048,Financial strength,-0.4583333333333334
Quick Ratio (MRQ),0.95,0.77,Financial strength,1.2337662337662336
Interest Coverage (MRQ),,6.87,Financial strength,
