,CVGW
% Above Low,0.2625
% Held by Institutions,0.7413
52-Wk Range,['28.76 - 45.50']
Annual Dividend $,0.2875
Annual Dividend %,0.0079
Ask,56.91
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,19.71
Bid Size,100.0
Closing Price,36.31
Day Change $,-0.07
Day Change %,-0.0019
Day High,36.74
Day Low,36.28
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",-0.9
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.424
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,644.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,36.38
Short Interest,0.024700000000000003
Today's Open,36.47
Volume,33758.0
Volume 10-day Avg,71478.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.764505119453925
Growth 1yr High Est,-0.7193548387096774
Growth 1yr Consensus Est,-0.7419299790818012
Growth 2yr Low Est,0.4003561359252116
Growth 2yr High Est,0.28974786800148306
Growth 2yr Consensus Est,0.3450520019633473
Growth 5yr Low Est,0.2001780679626058
Growth 5yr High Est,0.14487393400074153
Growth 5yr Consensus Est,0.17252600098167364
Growth 5yr Actual/Est,0.33837794292222323
Growth 3yr Historic,-0.3143006285063483
Price/Earnings (TTM),
Price/Sales (TTM),0.52734
Price/Book (MRQ),2.86593
Price/Cash Flow (TTM),370.6601
5yr Low,28.76
5yr High,108.0
5yr Avg Return,-0.08923333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0244563
Dividend Growth 5yr,0.07528
Short Int Current Month,421275.0
Short Int Prev Month,525560.0
Short Int Pct of Float,0.0246688
Days to Cover,6.29032
Float,17.07527
Shares Outstanding,17.73166
Institutions Holding Shares,228.0
FCF Growth 5yr,16.709133662575418
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0513
Operating Profit Margin (TTM),-0.0113
Net Profit Margin (TTM),-0.0126
Annual Dividend Yield,0.0079
Dividend Change %,0.0455
"Dividend Growth Rate, 3 Years",0.0658
EPS Growth (MRQ),7.7678
EPS Growth (TTM),-3.1633
Revenue Growth (MRQ),0.0319
Revenue Growth (TTM),0.20070000000000002
Return On Equity (TTM),-0.0659
Return On Assets (TTM),-0.0346
Return On Investment (TTM),-0.046
Revenue Per Employee (TTM),332134.0
Total Debt/Total Capital (MRQ),0.12210000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-17 00:00:00
ford since,2022-01-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-12-23 00:00:00
