,AGEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),8.85,45.03,Valuation,0.19653564290473016
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9581999999999999,0.5874,Profitability,1.6312563840653727
Operating Profit Margin (TTM),-1.9544,-4.7459,Profitability,0.41180808698034094
Net Profit Margin (TTM),-2.4934000000000003,-4.5467,Profitability,0.5483977390195086
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1276,-0.0014000000000000002,Gowth rates,91.14285714285712
EPS Growth (TTM),-6.0291,0.027200000000000002,Gowth rates,-221.6580882352941
Revenue Growth (MRQ),0.0882,1.3963999999999999,Gowth rates,0.06316241764537382
Revenue Growth (TTM),-0.7068000000000001,0.9747,Gowth rates,-0.7251461988304094
Return On Equity (TTM),-20.0013,0.1967,Effectiveness,-101.6842907981698
Return On Assets (TTM),-0.5173,0.0016,Effectiveness,-323.3125
Return On Investment (TTM),-0.8284,0.0219,Effectiveness,-37.82648401826484
Revenue Per Employee (TTM),203855.0,1476201.0,Effectiveness,0.13809433810165417
Total Debt/Total Capital (MRQ),8.2972,0.4675,Financial strength,17.74802139037433
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0036,Financial strength,0.08333333333333333
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-2.67,2.69,Financial strength,-0.9925650557620818
