,AGEN
% Below High,0.2238
% Held by Institutions,0.5708
52-Wk Range,['1.25 - 3.62']
Annual Dividend $,
Annual Dividend %,
Ask,2.92
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.3
Bid,2.81
Bid Size,1000.0
Closing Price,2.81
Day Change $,-0.19
Day Change %,-0.0633
Day High,2.97
Day Low,2.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.8
Ex-dividend Date,No dividend
Historical Volatility,0.8200000000000001
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,856.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.0
Short Interest,0.08789999999999999
Today's Open,2.96
Volume,2461283.0
Volume 10-day Avg,6392549.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.2142857142857143
Growth 1yr High Est,-0.28
Growth 1yr Consensus Est,-0.24714285714285716
Growth 2yr Low Est,-0.16396103896103897
Growth 2yr High Est,-0.2163888888888889
Growth 2yr Consensus Est,-0.19017496392496394
Growth 5yr Low Est,-0.10930735930735931
Growth 5yr High Est,-0.14425925925925928
Growth 5yr Consensus Est,-0.1267833092833093
Growth 5yr Actual/Est,1.3315882034632034
Growth 3yr Historic,-0.14568452380952382
Price/Earnings (TTM),
Price/Sales (TTM),8.85081
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.25
5yr High,6.79
5yr Avg Return,-0.004166666666666676
EPS Growth 5yr,
Revenue Growth 5yr,0.6727883
Dividend Growth 5yr,
Short Int Current Month,22501794.0
Short Int Prev Month,18990050.0
Short Int Pct of Float,0.0879472
Days to Cover,3.48645
Float,244.0779
Shares Outstanding,283.1629
Institutions Holding Shares,201.0
FCF Growth 5yr,0.9653050321300641
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9581999999999999
Operating Profit Margin (TTM),-1.9544
Net Profit Margin (TTM),-2.4934000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1276
EPS Growth (TTM),-6.0291
Revenue Growth (MRQ),0.0882
Revenue Growth (TTM),-0.7068000000000001
Return On Equity (TTM),-20.0013
Return On Assets (TTM),-0.5173
Return On Investment (TTM),-0.8284
Revenue Per Employee (TTM),203855.0
Total Debt/Total Capital (MRQ),8.2972
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-2.67
newConstructs,rating-box
cfra,
theStreet,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
cfra since,
theStreet since,2022-05-31 00:00:00
ford since,
researchTeam since,
marketEdge opinion since,
