,ORCL
% Above Low,0.34880000000000005
% Held by Institutions,0.4142
52-Wk Range,['60.78 - 106.34']
Annual Dividend $,1.28
Annual Dividend %,0.0155
Ask,82.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,81.98
Bid Size,100.0
Day Change $,-0.7399
Day Change %,-0.0089
Day High,82.11
Day Low,81.79
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",2.1
Ex-dividend,2022-10-11 00:00:00
Ex-dividend Date,10/11/22
Historical Volatility,0.344
Last (size),110.0
Last (time),9:36a ET 11/28/22
Market Cap,221.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.3
Prev Close,82.72
Price,81.98
Short Interest,0.011000000000000001
Today's Open,82.11
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-09 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.017167381974249052
Growth 1yr High Est,0.11875000000000013
Growth 1yr Consensus Est,0.06795869098712459
Growth 2yr Low Est,0.018077361873200415
Growth 2yr High Est,0.1320006983240224
Growth 2yr Consensus Est,0.0750390300986114
Growth 5yr Low Est,0.07370325982621517
Growth 5yr High Est,0.11540667281567774
Growth 5yr Consensus Est,0.09455496632094645
Growth 5yr Actual/Est,0.10447404385152931
Growth 3yr Historic,0.06555938707972969
Price/Earnings (TTM),39.29953
Price/Sales (TTM),5.05066
Price/Book (MRQ),
Price/Cash Flow (TTM),23.13797
5yr Low,39.71
5yr High,106.34
5yr Avg Return,0.10296666666666666
EPS Growth 5yr,0.0146934
Revenue Growth 5yr,0.02347
Dividend Growth 5yr,0.1128323
Short Int Current Month,16921721.0
Short Int Prev Month,16347657.0
Short Int Pct of Float,0.0109671
Days to Cover,2.251
Float,1542.95
Shares Outstanding,2696.166
Institutions Holding Shares,2652.0
FCF Growth 5yr,-2.9672603328065215
"Price/Earnings (TTM, GAAP)",39.3
"PEG Ratio (TTM, GAAP)",3.64
Gross Profit Margin (TTM),0.7778
Operating Profit Margin (TTM),0.22920000000000001
Net Profit Margin (TTM),0.1316
Annual Dividend Yield,0.015500000000000002
Dividend Change %,0.3333
"Dividend Growth Rate, 3 Years",0.1898
EPS Growth (MRQ),-0.5151
EPS Growth (TTM),-0.5529999999999999
Revenue Growth (MRQ),-0.0334
Revenue Growth (TTM),0.0812
Return On Equity (TTM),
Return On Assets (TTM),0.045899999999999996
Return On Investment (TTM),0.059699999999999996
Revenue Per Employee (TTM),308797.0
Total Debt/Total Capital (MRQ),1.0633
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.97
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-13 00:00:00
theStreet since,2021-09-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-13 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
