,GLW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.94,21.62,Valuation,0.7372802960222016
Price/Sales (TTM),2.0,5.43,Valuation,0.3683241252302026
Price/Book (MRQ),2.49,5.49,Valuation,0.453551912568306
"PEG Ratio (TTM, GAAP)",1.86,14.73,Valuation,0.12627291242362526
Gross Profit Margin (TTM),0.33630000000000004,0.33659999999999995,Profitability,0.9991087344028523
Operating Profit Margin (TTM),0.12689999999999999,-0.0824,Profitability,-1.54004854368932
Net Profit Margin (TTM),0.12990000000000002,-0.1173,Profitability,-1.1074168797953965
Annual Dividend Yield,0.0317,0.0088,Dividend,3.602272727272727
Dividend Change %,0.0909,0.0488,Dividend,1.8627049180327866
"Dividend Growth Rate, 3 Years",0.10060000000000001,0.046,Dividend,2.1869565217391305
EPS Growth (MRQ),-0.6301,0.1058,Gowth rates,-5.955576559546313
EPS Growth (TTM),1.2798,-0.0147,Gowth rates,-87.06122448979592
Revenue Growth (MRQ),-0.0351,0.1655,Gowth rates,-0.2120845921450151
Revenue Growth (TTM),0.051100000000000007,0.1855,Gowth rates,0.2754716981132076
Return On Equity (TTM),0.157,0.23850000000000002,Effectiveness,0.6582809224318658
Return On Assets (TTM),0.0643,0.0752,Effectiveness,0.8550531914893617
Return On Investment (TTM),0.0775,0.1041,Effectiveness,0.74447646493756
Revenue Per Employee (TTM),236258.0,449465.0,Effectiveness,0.5256427085535025
Total Debt/Total Capital (MRQ),0.3683,0.3575,Financial strength,1.0302097902097902
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0362,Financial strength,-0.0055248618784530384
Quick Ratio (MRQ),0.94,1.53,Financial strength,0.6143790849673202
Interest Coverage (MRQ),2.72,15.46,Financial strength,0.1759379042690815
