,GLW
% Above Low,0.17739999999999997
% Held by Institutions,0.6759000000000001
52-Wk Range,['28.98 - 43.47']
Annual Dividend $,1.08
Annual Dividend %,0.0317
Ask,35.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,33.0
Bid Size,100.0
Closing Price,34.12
Day Change $,0.2
Day Change %,0.0059
Day High,34.37
Day Low,34.0
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.317
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,28.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.94
Prev Close,33.92
Short Interest,0.0137
Today's Open,34.01
Volume,1414661.0
Volume 10-day Avg,3704564.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.004694835680751019
Growth 1yr Consensus Est,-0.0023474178403755097
Growth 2yr Low Est,-0.017241379310344807
Growth 2yr High Est,0.10850163876339802
Growth 2yr Consensus Est,0.04563012972652661
Growth 5yr Low Est,0.07071741410153595
Growth 5yr High Est,0.11926903228684319
Growth 5yr Consensus Est,0.09499322319418957
Growth 5yr Actual/Est,0.09389992946354378
Growth 3yr Historic,0.06974534009156311
Price/Earnings (TTM),15.94124
Price/Sales (TTM),1.99593
Price/Book (MRQ),2.48855
Price/Cash Flow (TTM),8.58135
5yr Low,17.44
5yr High,46.82
5yr Avg Return,0.012450000000000003
EPS Growth 5yr,-0.1691966
Revenue Growth 5yr,0.0844256
Dividend Growth 5yr,0.12195510000000001
Short Int Current Month,10445012.0
Short Int Prev Month,12507265.0
Short Int Pct of Float,0.013687499999999998
Days to Cover,2.4953
Float,763.2839
Shares Outstanding,845.8114
Institutions Holding Shares,1401.0
FCF Growth 5yr,0.7335476217477656
"Price/Earnings (TTM, GAAP)",15.94
"PEG Ratio (TTM, GAAP)",1.86
Gross Profit Margin (TTM),0.33630000000000004
Operating Profit Margin (TTM),0.12689999999999999
Net Profit Margin (TTM),0.12990000000000002
Annual Dividend Yield,0.0317
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),-0.6301
EPS Growth (TTM),1.2798
Revenue Growth (MRQ),-0.0351
Revenue Growth (TTM),0.051100000000000007
Return On Equity (TTM),0.157
Return On Assets (TTM),0.0643
Return On Investment (TTM),0.0775
Revenue Per Employee (TTM),236258.0
Total Debt/Total Capital (MRQ),0.3683
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),2.72
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-12-21 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-05 00:00:00
ford since,2021-05-28 00:00:00
marketEdge opinion since,
