,PRCH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.78,7.6,Valuation,0.10263157894736843
Price/Book (MRQ),1.77,10.0,Valuation,0.177
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.6267,0.4335,Profitability,1.4456747404844292
Operating Profit Margin (TTM),-0.6123,0.0117,Profitability,-52.33333333333333
Net Profit Margin (TTM),-0.5328,-0.0141,Profitability,37.787234042553195
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-2.2535,-0.26239999999999997,Gowth rates,8.588033536585366
EPS Growth (TTM),0.5054,-0.6279,Gowth rates,-0.8049052396878483
Revenue Growth (MRQ),0.065,0.1585,Gowth rates,0.41009463722397477
Revenue Growth (TTM),0.2211,0.12369999999999999,Gowth rates,1.7873888439773646
Return On Equity (TTM),-0.9022,0.0635,Effectiveness,-14.20787401574803
Return On Assets (TTM),-0.1307,-0.1317,Effectiveness,0.9924069855732726
Return On Investment (TTM),-0.2233,0.0197,Effectiveness,-11.335025380710661
Revenue Per Employee (TTM),153104.0,354479.0,Effectiveness,0.43191275082585995
Total Debt/Total Capital (MRQ),0.7893000000000001,0.39840000000000003,Financial strength,1.9811746987951808
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.4575,Financial strength,0.0002185792349726776
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),-15.79,-0.6,Financial strength,26.316666666666666
