,PRCH
% Above Low,1.0372
% Held by Institutions,0.7277
52-Wk Range,['0.94 - 22.21']
Annual Dividend $,
Annual Dividend %,
Ask,1.92
Ask Size,800.0
B/A Ratio,0.75
B/A Size,600x800
Beta,
Bid,1.91
Bid Size,600.0
Day Change $,-0.115
Day Change %,-0.0567
Day High,2.18
Day Low,1.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.42
Ex-dividend Date,No dividend
Historical Volatility,1.2570000000000001
Last (size),50.0
Last (time),11:24a ET 11/28/22
Market Cap,192.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.03
Price,1.92
Short Interest,0.1438
Today's Open,2.01
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.006535947712418277
Growth 1yr High Est,0.29629629629629606
Growth 1yr Consensus Est,0.15141612200435717
Growth 2yr Low Est,-0.1655631949749597
Growth 2yr High Est,-0.23042328042328053
Growth 2yr Consensus Est,-0.1979932376991201
Growth 5yr Low Est,-0.1655631949749597
Growth 5yr High Est,-0.23042328042328053
Growth 5yr Consensus Est,-0.19799323769912008
Growth 5yr Actual/Est,-0.12555393664670011
Growth 3yr Historic,-0.06103286384976525
Price/Earnings (TTM),
Price/Sales (TTM),0.78426
Price/Book (MRQ),1.77054
Price/Cash Flow (TTM),
5yr Low,0.94
5yr High,27.5
5yr Avg Return,-0.11776666666666666
Short Int Current Month,11771925.0
Short Int Prev Month,12033457.0
Short Int Pct of Float,0.1437588
Days to Cover,4.28798
Float,82.21165
Shares Outstanding,100.5545
Institutions Holding Shares,173.0
FCF Growth 5yr,0.22328257845589702
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6267
Operating Profit Margin (TTM),-0.6123
Net Profit Margin (TTM),-0.5328
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.2535
EPS Growth (TTM),0.5054
Revenue Growth (MRQ),0.065
Revenue Growth (TTM),0.2211
Return On Equity (TTM),-0.9022
Return On Assets (TTM),-0.1307
Return On Investment (TTM),-0.2233
Revenue Per Employee (TTM),153104.0
Total Debt/Total Capital (MRQ),0.7893000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-15.79
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-03 00:00:00
theStreet since,2022-03-03 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
