,MEDP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",33.43,83.95,Valuation,0.39821322215604527
Price/Sales (TTM),4.93,6.06,Valuation,0.8135313531353136
Price/Book (MRQ),19.36,6.22,Valuation,3.112540192926045
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.2944,0.5095000000000001,Profitability,0.5778213935230617
Operating Profit Margin (TTM),0.18710000000000002,0.0332,Profitability,5.635542168674699
Net Profit Margin (TTM),0.165,-0.0454,Profitability,-3.6343612334801763
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.39740000000000003,-0.5094,Gowth rates,-0.7801334903808403
EPS Growth (TTM),0.3478,-0.2377,Gowth rates,-1.463188893563315
Revenue Growth (MRQ),0.0926,0.1691,Gowth rates,0.547604967474867
Revenue Growth (TTM),0.2569,0.1222,Gowth rates,2.1022913256955813
Return On Equity (TTM),0.36310000000000003,1.1042,Effectiveness,0.32883535591378377
Return On Assets (TTM),0.1561,0.0644,Effectiveness,2.4239130434782608
Return On Investment (TTM),0.2893,0.0802,Effectiveness,3.6072319201995016
Revenue Per Employee (TTM),305433.0,335561.0,Effectiveness,0.9102160262962621
Total Debt/Total Capital (MRQ),0.2853,0.3893,Financial strength,0.7328538402260468
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),,1.51,Financial strength,
Interest Coverage (MRQ),49.13,33.07,Financial strength,1.4856365285757485
