,MEDP
% Below High,0.076
% Held by Institutions,0.8415
52-Wk Range,['126.95 - 235.72']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,269.5
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Bid close,167.82
Change Since Close,-0.49| |(-0.22%)
Closing Price,217.81
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.52
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),19.0
Last (time),1:00p ET 11/25/22
Last Trade,217.32
Market Cap,6.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.43
Prev Close,217.81
Short Interest,0.0672
Today's Open,
Volume,20.0
Volume 10-day Avg,243075.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.47033898305084754
Growth 1yr High Est,0.4675052410901468
Growth 1yr Consensus Est,0.46892211207049717
Growth 2yr Low Est,0.27047208518536603
Growth 2yr High Est,0.302324049116502
Growth 2yr Consensus Est,0.286398067150934
Growth 5yr Low Est,0.272024377319162
Growth 5yr High Est,0.28923947477458484
Growth 5yr Consensus Est,0.28063192604687337
Growth 5yr Actual/Est,0.2719923532258704
Growth 3yr Historic,0.1310318363686534
Price/Earnings (TTM),33.43116
Price/Sales (TTM),4.92842
Price/Book (MRQ),19.35934
Price/Cash Flow (TTM),27.24379
5yr Low,31.7
5yr High,235.72
5yr Avg Return,0.38535
EPS Growth 5yr,0.6716417
Revenue Growth 5yr,0.22063400000000002
Dividend Growth 5yr,
Short Int Current Month,1597605.0
Short Int Prev Month,1958836.0
Short Int Pct of Float,0.0672302
Days to Cover,4.30052
Float,23.76122
Shares Outstanding,31.0999
Institutions Holding Shares,466.0
FCF Growth 5yr,0.7649264209720877
"Price/Earnings (TTM, GAAP)",33.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2944
Operating Profit Margin (TTM),0.18710000000000002
Net Profit Margin (TTM),0.165
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.39740000000000003
EPS Growth (TTM),0.3478
Revenue Growth (MRQ),0.0926
Revenue Growth (TTM),0.2569
Return On Equity (TTM),0.36310000000000003
Return On Assets (TTM),0.1561
Return On Investment (TTM),0.2893
Revenue Per Employee (TTM),305433.0
Total Debt/Total Capital (MRQ),0.2853
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),49.13
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-25 00:00:00
theStreet since,2019-06-07 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
