,CLH
% Below High,0.009000000000000001
% Held by Institutions,0.9126000000000001
52-Wk Range,['81.56 - 124.49']
Annual Dividend $,
Annual Dividend %,
Ask,196.83
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,117.1
Bid Size,200.0
Closing Price,123.37
Day Change $,0.75
Day Change %,0.0060999999999999995
Day High,123.37
Day Low,122.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.94
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),40.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.78
Prev Close,122.62
Short Interest,0.013600000000000001
Today's Open,122.13
Volume,117888.0
Volume 10-day Avg,362735.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,1.0265486725663715
Growth 1yr High Est,0.9834254143646408
Growth 1yr Consensus Est,1.0049870434655062
Growth 2yr Low Est,0.38809238577372435
Growth 2yr High Est,0.5467266347589221
Growth 2yr Consensus Est,0.46740951026632327
Growth 5yr Low Est,0.39725474903659475
Growth 5yr High Est,0.48043402445016814
Growth 5yr Consensus Est,0.4388443867433815
Growth 5yr Actual/Est,0.42482366970513524
Growth 3yr Historic,0.19911968618865172
Price/Earnings (TTM),17.77842
Price/Sales (TTM),1.3321
Price/Book (MRQ),3.63012
Price/Cash Flow (TTM),9.24299
5yr Low,29.45
5yr High,124.49
5yr Avg Return,0.1841
EPS Growth 5yr,
Revenue Growth 5yr,0.0667248
Dividend Growth 5yr,
Short Int Current Month,685998.0
Short Int Prev Month,701186.0
Short Int Pct of Float,0.013577200000000001
Days to Cover,1.26717
Float,50.54724
Shares Outstanding,54.0743
Institutions Holding Shares,501.0
FCF Growth 5yr,-3.2667855020796197
"Price/Earnings (TTM, GAAP)",17.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3122
Operating Profit Margin (TTM),0.1195
Net Profit Margin (TTM),0.0755
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07980000000000001
EPS Growth (TTM),0.9682
Revenue Growth (MRQ),0.005
Revenue Growth (TTM),0.43810000000000004
Return On Equity (TTM),0.22920000000000001
Return On Assets (TTM),0.0726
Return On Investment (TTM),0.0873
Revenue Per Employee (TTM),273661.0
Total Debt/Total Capital (MRQ),0.5788000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),1.72
Interest Coverage (MRQ),7.45
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-22 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-18 00:00:00
