,CLH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.78,49.52,Valuation,0.35904684975767365
Price/Sales (TTM),1.33,4.95,Valuation,0.2686868686868687
Price/Book (MRQ),3.63,8.39,Valuation,0.4326579261025029
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.3122,0.3995,Profitability,0.7814768460575718
Operating Profit Margin (TTM),0.1195,-0.031400000000000004,Profitability,-3.8057324840764326
Net Profit Margin (TTM),0.0755,-0.042300000000000004,Profitability,-1.7848699763593379
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),-0.07980000000000001,0.2798,Gowth rates,-0.2852037169406719
EPS Growth (TTM),0.9682,0.017,Gowth rates,56.95294117647058
Revenue Growth (MRQ),0.005,6.526000000000001,Gowth rates,0.000766166104811523
Revenue Growth (TTM),0.43810000000000004,0.4152,Gowth rates,1.0551541425818882
Return On Equity (TTM),0.22920000000000001,0.24,Effectiveness,0.9550000000000001
Return On Assets (TTM),0.0726,0.08750000000000001,Effectiveness,0.8297142857142856
Return On Investment (TTM),0.0873,0.11080000000000001,Effectiveness,0.7879061371841155
Revenue Per Employee (TTM),273661.0,300327.0,Effectiveness,0.9112101143087368
Total Debt/Total Capital (MRQ),0.5788000000000001,0.4451,Financial strength,1.300381936643451
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0070999999999999995,Financial strength,0.2394366197183099
Quick Ratio (MRQ),1.72,1.37,Financial strength,1.2554744525547443
Interest Coverage (MRQ),7.45,18.65,Financial strength,0.3994638069705094
