,CLH
Price/Earnings (TTM),17.77842
Price/Sales (TTM),1.3321
Price/Book (MRQ),3.63012
Price/Cash Flow (TTM),9.24299
5yr Low,29.45
5yr High,124.49
5yr Avg Return,0.1841
EPS Growth 5yr,
Revenue Growth 5yr,0.0667248
Dividend Growth 5yr,
Short Int Current Month,685998.0
Short Int Prev Month,701186.0
Short Int Pct of Float,0.013577200000000001
Days to Cover,1.26717
Float,50.54724
Shares Outstanding,54.0743
Institutions Holding Shares,501.0
% Held by Institutions,0.91263
FCF Growth 5yr,-3.2667855020796197
