,GT
% Above Low,0.1721
% Held by Institutions,0.785
52-Wk Range,['9.76 - 24.17']
Annual Dividend $,
Annual Dividend %,
Ask,11.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,11.4
Bid Size,100.0
Closing Price,11.44
Day Change $,0.15
Day Change %,0.013300000000000001
Day High,11.55
Day Low,11.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.655
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.8
Prev Close,11.29
Short Interest,0.04650000000000001
Today's Open,11.3
Volume,1675684.0
Volume 10-day Avg,4347161.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.06923076923076932
Growth 2yr High Est,0.6026490066225165
Growth 2yr Consensus Est,0.2667091186958736
Growth 5yr Low Est,-0.06923076923076932
Growth 5yr High Est,0.6026490066225165
Growth 5yr Consensus Est,0.2667091186958736
Growth 5yr Actual/Est,-1.226727621597848
Growth 3yr Historic,-1.2156898390537134
Price/Earnings (TTM),3.80179
Price/Sales (TTM),0.15797
Price/Book (MRQ),0.63611
Price/Cash Flow (TTM),1.77117
5yr Low,4.09
5yr High,36.07
5yr Avg Return,-0.06528333333333332
EPS Growth 5yr,-0.0944242
Revenue Growth 5yr,0.0288924
Dividend Growth 5yr,
Short Int Current Month,13101770.0
Short Int Prev Month,15280679.0
Short Int Pct of Float,0.0465274
Days to Cover,1.77873
Float,281.6977
Shares Outstanding,282.861
Institutions Holding Shares,501.0
FCF Growth 5yr,-0.017619856253359416
"Price/Earnings (TTM, GAAP)",3.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1988
Operating Profit Margin (TTM),0.0496
Net Profit Margin (TTM),0.0425
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7349
EPS Growth (TTM),1.8591
Revenue Growth (MRQ),0.019
Revenue Growth (TTM),0.27390000000000003
Return On Equity (TTM),0.1827
Return On Assets (TTM),0.038700000000000005
Return On Investment (TTM),0.0575
Revenue Per Employee (TTM),284514.0
Total Debt/Total Capital (MRQ),0.6222
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),2.46
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-19 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-01 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
