,RRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.81,35.65,Valuation,0.6398316970546984
Price/Sales (TTM),1.65,12.92,Valuation,0.12770897832817338
Price/Book (MRQ),1.4,9.0,Valuation,0.15555555555555556
"PEG Ratio (TTM, GAAP)",3.04,0.29,Valuation,10.482758620689657
Gross Profit Margin (TTM),0.3155,0.2968,Profitability,1.0630053908355794
Operating Profit Margin (TTM),0.10740000000000001,-0.5081,Profitability,-0.2113757134422358
Net Profit Margin (TTM),0.075,-0.706,Profitability,-0.10623229461756374
Annual Dividend Yield,0.0108,0.0123,Dividend,0.8780487804878049
Dividend Change %,0.05,0.0305,Dividend,1.639344262295082
"Dividend Growth Rate, 3 Years",0.0527,0.0396,Dividend,1.3308080808080807
EPS Growth (MRQ),-0.15130000000000002,0.5871000000000001,Gowth rates,-0.257707375234202
EPS Growth (TTM),-0.167,-1.2397,Gowth rates,0.13471001048640802
Revenue Growth (MRQ),-0.0179,0.28940000000000005,Gowth rates,-0.06185210780926053
Revenue Growth (TTM),0.5381,0.22710000000000002,Gowth rates,2.3694407749889916
Return On Equity (TTM),0.0866,0.10210000000000001,Effectiveness,0.8481880509304602
Return On Assets (TTM),0.05280000000000001,0.0479,Effectiveness,1.1022964509394575
Return On Investment (TTM),0.060599999999999994,0.0575,Effectiveness,1.0539130434782606
Revenue Per Employee (TTM),172993.0,348568.0,Effectiveness,0.4962962750453283
Total Debt/Total Capital (MRQ),0.26239999999999997,0.3799,Financial strength,0.6907080810739668
Change in Debt/Total Capital Quarter over Quarter,0.0048,0.0017000000000000001,Financial strength,2.8235294117647056
Quick Ratio (MRQ),1.6,1.37,Financial strength,1.167883211678832
Interest Coverage (MRQ),9.69,9.61,Financial strength,1.0083246618106139
