,RRX
% Above Low,0.1653
% Held by Institutions,1.0215
52-Wk Range,['108.28 - 176.91']
Annual Dividend $,1.4
Annual Dividend %,0.0108
Ask,126.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,126.1
Bid Size,100.0
Day Change $,-3.64
Day Change %,-0.027999999999999997
Day High,128.37
Day Low,126.09
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",5.69
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.375
Last (size),100.0
Last (time),1:13p ET 11/28/22
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",22.81
Prev Close,129.82
Price,126.18
Short Interest,0.0165
Today's Open,128.37
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.8720720720720723
Growth 1yr High Est,0.8794326241134751
Growth 1yr Consensus Est,0.8757523480927737
Growth 2yr Low Est,0.4312237164980187
Growth 2yr High Est,0.48688612337749226
Growth 2yr Consensus Est,0.4590549199377555
Growth 5yr Low Est,0.21973273736988846
Growth 5yr High Est,0.24658489292752528
Growth 5yr Consensus Est,0.23315881514870687
Growth 5yr Actual/Est,0.21426174010698684
Growth 3yr Historic,0.17132931152591918
Price/Earnings (TTM),22.81314
Price/Sales (TTM),1.65474
Price/Book (MRQ),1.3976
Price/Cash Flow (TTM),12.31749
5yr Low,51.99
5yr High,176.91
5yr Avg Return,0.11485
EPS Growth 5yr,-0.005348
Revenue Growth 5yr,0.0339496
Dividend Growth 5yr,0.0603483
Short Int Current Month,1086744.0
Short Int Prev Month,989548.0
Short Int Pct of Float,0.016493999999999998
Days to Cover,1.14606
Float,65.97078
Shares Outstanding,66.15124
Institutions Holding Shares,526.0
FCF Growth 5yr,-1.4243718359304296
"Price/Earnings (TTM, GAAP)",22.81
"PEG Ratio (TTM, GAAP)",3.04
Gross Profit Margin (TTM),0.3155
Operating Profit Margin (TTM),0.10740000000000001
Net Profit Margin (TTM),0.075
Annual Dividend Yield,0.0108
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.15130000000000002
EPS Growth (TTM),-0.167
Revenue Growth (MRQ),-0.0179
Revenue Growth (TTM),0.5381
Return On Equity (TTM),0.0866
Return On Assets (TTM),0.05280000000000001
Return On Investment (TTM),0.060599999999999994
Revenue Per Employee (TTM),172993.0
Total Debt/Total Capital (MRQ),0.26239999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0048
Quick Ratio (MRQ),1.6
Interest Coverage (MRQ),9.69
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-06-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
