,DCPH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),8.83,45.03,Valuation,0.19609149455918276
Price/Book (MRQ),2.87,12.61,Valuation,0.22759714512291834
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9504000000000001,0.5874,Profitability,1.6179775280898878
Operating Profit Margin (TTM),-1.8374000000000001,-4.7459,Profitability,0.38715522872374053
Net Profit Margin (TTM),-1.8163,-4.5467,Profitability,0.3994765434271009
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.078,-0.0014000000000000002,Gowth rates,-55.71428571428571
EPS Growth (TTM),0.2713,0.027200000000000002,Gowth rates,9.974264705882351
Revenue Growth (MRQ),0.10710000000000001,1.3963999999999999,Gowth rates,0.07669722142652537
Revenue Growth (TTM),0.3331,0.9747,Gowth rates,0.3417461783112753
Return On Equity (TTM),-0.5871000000000001,0.1967,Effectiveness,-2.9847483477376717
Return On Assets (TTM),-0.4615,0.0016,Effectiveness,-288.4375
Return On Investment (TTM),-0.5479,0.0219,Effectiveness,-25.018264840182653
Revenue Per Employee (TTM),435321.0,1476201.0,Effectiveness,0.29489276866768144
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),5.32,2.06,Financial strength,2.5825242718446604
Interest Coverage (MRQ),,2.69,Financial strength,
