,SRCL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",449.0,49.52,Valuation,9.067043618739902
Price/Sales (TTM),1.76,4.95,Valuation,0.35555555555555557
Price/Book (MRQ),2.04,8.39,Valuation,0.24314660309892727
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.37829999999999997,0.3995,Profitability,0.9469336670838547
Operating Profit Margin (TTM),0.0382,-0.031400000000000004,Profitability,-1.2165605095541399
Net Profit Margin (TTM),0.0043,-0.042300000000000004,Profitability,-0.1016548463356974
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),1.661,0.2798,Gowth rates,5.93638313080772
EPS Growth (TTM),-0.6158,0.017,Gowth rates,-36.2235294117647
Revenue Growth (MRQ),0.0154,6.526000000000001,Gowth rates,0.002359791602819491
Revenue Growth (TTM),0.0174,0.4152,Gowth rates,0.041907514450867045
Return On Equity (TTM),0.0045000000000000005,0.24,Effectiveness,0.018750000000000003
Return On Assets (TTM),0.0021,0.08750000000000001,Effectiveness,0.023999999999999997
Return On Investment (TTM),0.0024,0.11080000000000001,Effectiveness,0.02166064981949458
Revenue Per Employee (TTM),184990.0,300327.0,Effectiveness,0.6159619348243748
Total Debt/Total Capital (MRQ),0.4182,0.4451,Financial strength,0.9395641428892384
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0070999999999999995,Financial strength,0.05633802816901409
Quick Ratio (MRQ),,1.37,Financial strength,
Interest Coverage (MRQ),3.06,18.65,Financial strength,0.1640750670241287
