,SRCL
% Below High,0.1726
% Held by Institutions,1.0265
52-Wk Range,['39.63 - 61.27']
Annual Dividend $,
Annual Dividend %,
Ask,50.69
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,50.64
Bid Size,200.0
Day Change $,-0.68
Day Change %,-0.0132
Day High,51.47
Day Low,50.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.11
Ex-dividend Date,No dividend
Historical Volatility,0.322
Last (size),100.0
Last (time),3:12p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",449.0
Prev Close,51.37
Price,50.69
Short Interest,0.0189
Today's Open,51.1
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.06542056074766356
Growth 1yr High Est,-0.12295081967213106
Growth 1yr Consensus Est,-0.09418569020989731
Growth 2yr Low Est,0.042289719626168176
Growth 2yr High Est,0.04366477707982225
Growth 2yr Consensus Est,0.04297724835299521
Growth 5yr Low Est,-0.01905121861828843
Growth 5yr High Est,-0.0014947200813151262
Growth 5yr Consensus Est,-0.010272969349801778
Growth 5yr Actual/Est,-0.013415155522092465
Growth 3yr Historic,-0.04440251572327045
Price/Earnings (TTM),448.9992
Price/Sales (TTM),1.75936
Price/Book (MRQ),2.0394
Price/Cash Flow (TTM),19.35228
5yr Low,34.36
5yr High,79.97
5yr Avg Return,0.025983333333333324
EPS Growth 5yr,
Revenue Growth 5yr,-0.0576735
Dividend Growth 5yr,
Short Int Current Month,1734399.0
Short Int Prev Month,1882138.0
Short Int Pct of Float,0.0188542
Days to Cover,3.4881
Float,92.02631
Shares Outstanding,92.18422
Institutions Holding Shares,417.0
FCF Growth 5yr,-0.5132171466068134
"Price/Earnings (TTM, GAAP)",449.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.37829999999999997
Operating Profit Margin (TTM),0.0382
Net Profit Margin (TTM),0.0043
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.661
EPS Growth (TTM),-0.6158
Revenue Growth (MRQ),0.0154
Revenue Growth (TTM),0.0174
Return On Equity (TTM),0.0045000000000000005
Return On Assets (TTM),0.0021
Return On Investment (TTM),0.0024
Revenue Per Employee (TTM),184990.0
Total Debt/Total Capital (MRQ),0.4182
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.06
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-01-19 00:00:00
theStreet since,2022-05-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-06-10 00:00:00
marketEdge opinion since,
