,BRKL
Price/Earnings (TTM),10.24568
Price/Sales (TTM),3.43319
Price/Book (MRQ),1.15331
Price/Cash Flow (TTM),9.57991
5yr Low,8.13
5yr High,19.35
5yr Avg Return,0.011899999999999997
EPS Growth 5yr,0.14695919999999998
Revenue Growth 5yr,0.0538649
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,2215741.0
Short Int Prev Month,2127454.0
Short Int Pct of Float,0.0297464
Days to Cover,5.48041
Float,74.78033
Shares Outstanding,76.84423
Institutions Holding Shares,256.0
% Held by Institutions,0.8426659999999999
FCF Growth 5yr,0.49354092519486475
