,TTD
% Above Low,0.25670000000000004
% Held by Institutions,0.7537
52-Wk Range,['39.00 - 110.87']
Annual Dividend $,
Annual Dividend %,
Ask,49.18
Ask Size,1000.0
B/A Ratio,0.9
B/A Size,900x1000
Beta,1.7
Bid,49.01
Bid Size,900.0
Closing Price,49.01
Day Change $,-0.38
Day Change %,-0.0077
Day High,49.31
Day Low,48.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.02
Ex-dividend Date,No dividend
Historical Volatility,0.8520000000000001
Last (size),5.0
Last (time),3:59p ET 11/28/22
Market Cap,24.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,49.39
Short Interest,0.0351
Today's Open,48.57
Volume,3045005.0
Volume 10-day Avg,4476391.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.04081632653061229
Growth 2yr High Est,0.2547169811320755
Growth 2yr Consensus Est,0.10695032730073162
Growth 5yr Low Est,-0.04081632653061229
Growth 5yr High Est,0.2547169811320755
Growth 5yr Consensus Est,0.10695032730073162
Growth 5yr Actual/Est,0.3457539845007876
Growth 3yr Historic,0.2959263611437524
Price/Earnings (TTM),
Price/Sales (TTM),16.30652
Price/Book (MRQ),12.62826
Price/Cash Flow (TTM),603.3981
5yr Low,4.07
5yr High,114.09
5yr Avg Return,0.7482166666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4259773
Dividend Growth 5yr,
Short Int Current Month,15466240.0
Short Int Prev Month,15385252.0
Short Int Pct of Float,0.0350564
Days to Cover,1.73199
Float,441.1736
Shares Outstanding,489.5111
Institutions Holding Shares,970.0
FCF Growth 5yr,0.18749005265662022
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8190000000000001
Operating Profit Margin (TTM),-0.008
Net Profit Margin (TTM),-0.006600000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8088
EPS Growth (TTM),-1.0381
Revenue Growth (MRQ),0.0472
Revenue Growth (TTM),0.3229
Return On Equity (TTM),-0.0061
Return On Assets (TTM),-0.0028000000000000004
Return On Investment (TTM),-0.0053
Revenue Per Employee (TTM),753765.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-06-14 00:00:00
theStreet since,2022-02-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-06-29 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
