,TTD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,15.8,Valuation,
Price/Sales (TTM),16.31,2.92,Valuation,5.585616438356164
Price/Book (MRQ),12.63,3.23,Valuation,3.910216718266254
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.8190000000000001,0.5389,Profitability,1.5197624791241418
Operating Profit Margin (TTM),-0.008,0.14,Profitability,-0.05714285714285714
Net Profit Margin (TTM),-0.006600000000000001,0.1103,Profitability,-0.05983680870353582
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),1.8088,0.7041,Gowth rates,2.5689532736827156
EPS Growth (TTM),-1.0381,0.0154,Gowth rates,-67.4090909090909
Revenue Growth (MRQ),0.0472,0.1423,Gowth rates,0.33169360505973294
Revenue Growth (TTM),0.3229,0.1115,Gowth rates,2.895964125560538
Return On Equity (TTM),-0.0061,0.1409,Effectiveness,-0.0432931156848829
Return On Assets (TTM),-0.0028000000000000004,0.0388,Effectiveness,-0.07216494845360825
Return On Investment (TTM),-0.0053,0.049800000000000004,Effectiveness,-0.10642570281124497
Revenue Per Employee (TTM),753765.0,648551.0,Effectiveness,1.162229338941733
Total Debt/Total Capital (MRQ),0.0,0.5946,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),,5.53,Financial strength,
